text,"['Name_Calling,Labeling']","['Exaggeration,Minimisation']","['Doubt', 'Appeal_to_fear-prejudice']",['Black-and-White_Fallacy'],"['Straw_Men', 'Whataboutism', 'Red_Herring']",['Bandwagon'],['Flag-Waving'],"['Repetition', 'Slogans']"
"You, Dicky Durban [sic], are a complete FRAUD.",0,0,1,0,0,0,0,0
"Broaddrick also said that if Senate Democrats want the FBI to investigate the 36-year-old accusations against Mr. Kavanaugh, they should reopen her 40-year-old case, too.",0,0,0,0,1,0,0,0
I was never discredited at all.,0,0,0,0,0,0,0,1
"“During every step of this process, I’ve found every single piece of information from Dr.",0,1,0,0,0,0,0,0
"“[They] are devoted family men, respected contributors to their local community, and have widespread support from their neighbors, local law enforcement, and farmers and ranchers across the West.",1,0,0,0,0,0,0,0
"“I have a sense that things are moving forward and I have faith in our president,” Susie Hammond, the wife and mother of the imprisoned ranchers, told The Oregonian last month.",0,0,0,0,0,0,1,1
"“If anyone is going to help them, he'd be the one.”",0,0,0,1,0,0,0,0
"If you find that fascinating, then you are going to enjoy these ten amazing facts about the Andromeda Galaxy.",0,0,0,0,0,0,0,0
The large galaxy is stunning in size and has around three times as many stars as the Milky Way does.,0,0,0,0,0,0,0,0
"In remarks after his address, reported by the German Catholic newspaper Die Tagespost, the cardinal made it clear what he thinks about the recently presented German idea of blessing homosexual unions, even if only in individual cases: “If a priest blesses a homosexual couple, then this is an atrocity at a holy site, namely, to approve of something that God does not approve of.",0,0,0,0,0,0,0,0
Cardinal Müller: Blessing homosexual couples would be an ‘atrocity’,0,0,0,0,0,0,0,0
"In remarks after his address, reported by the German Catholic newspaper Die Tagespost, the cardinal made it clear what he thinks about the recently presented German idea of blessing homosexual unions, even if only in individual cases: “If a priest blesses a homosexual couple, then this is an atrocity at a holy site, namely, to approve of something that God does not approve of.” According to the Tagespost report, Cardinal Müller said in his address that he regrets the separation of the Church's doctrinal and moral teaching and called Christianity a “theocentric humanism.",0,0,0,1,0,0,0,0
” He said the “submissive change of the Church into a NGO for the embetterment of the this-worldly life conditions” is a “suicidal modernization” that denies mankind the Truth of God.,1,0,0,0,0,0,0,0
"“In dogmatic questions, there cannot be a plurality,” he added.",0,0,0,1,0,0,0,0
"There is only one Magisterium, he said, and bishops' conferences can only decide about pastoral questions.",0,0,0,1,0,0,0,0
"Thus, explained the cardinal, the Sacraments have to be celebrated the way Christ Himself willed it when he instituted them.",0,0,0,0,0,0,0,0
"The controversial eighth chapter of Amoris Laetitia has to be understood “in an orthodox way,” namely that “he who lives in the state of mortal sin cannot receive Holy Communion.” It is, in Müller's eyes, the pope's duty “to unite the Church, that is what the pope is there for.",0,0,0,1,0,0,0,0
"” He also said: “The Commandments are an expression of the Love of God for us. If we fulfill them, we are united with God.”",0,0,0,1,0,0,0,0
"According to the Tagespost report, Cardinal Müller said in his address that he regrets the separation of the Church's doctrinal and moral teaching and called Christianity a “theocentric humanism.",1,0,0,0,0,0,0,0
"Saucier has been pardoned, I really do, but I continue to ask what a lot of Americans continue to ask, why does the known criminal Hillary Clinton remain at large in our country with her corrupt foundation taking in billions, her trashing our Republic and continuing to have a national voice?",1,0,0,0,0,0,1,0
"The American people weren't promised pardons, we were promised a special counsel to dig into the Clintons and bring about justice.",0,0,0,0,0,0,1,0
“It’s a very sad case because Kristian Saucier is a fine young man.,1,0,0,0,0,0,0,0
"“They used me as an example because of [the backlash over] Hillary Clinton,” he continued, alleging his life was ruined for political reasons.",0,0,0,0,0,0,0,0
"“It was a foolish mistake by a very young man,” Saucier’s lawyer, Greg Rinckey, said.",1,0,0,0,0,0,0,0
We have seen the increasing Islamization of the public-school curriculum.,0,0,0,0,0,0,0,1
"Rich Penkoski has alerted me to the latest development in the forced Islamization of his children’s school curriculum: after the Daily Caller and Geller Report exposed what was happening, Mountain Ridge administrators and teachers began messaging parents who were sharing the story, asking them to remove their posts.",0,0,0,0,0,0,0,1
"This is an outrage, but it is common nationwide: the Daily Caller News Foundation reports that Mountain Ridge Middle School in West Virginia is “instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy.",0,0,0,0,0,0,0,0
"”In order to convert to Islam, one says the shahada. Saying the shahada makes you a Muslim. The shahada is what is on the black flag of jihad.",0,0,0,0,0,0,0,0
Rich Penkoski is hardly the first to protest this egregious submission to the most vicious and brutal ideology on the face of the Earth.,0,1,0,0,0,0,0,0
"With an entire chapter dedicated to the virtues of Islam and not a single chapter for Christianity, the textbook had Floridians in a frenzy.",0,0,0,0,0,0,0,0
"Worse still, Penkoski is now being threatened by students who attend the school with his daughter.",0,0,1,0,0,0,0,0
A student in the school threatened to get her adult friends to come to my home and kill me by stabbing me in the chest and ripping my organs out.,0,0,1,0,0,0,0,1
They then threatened to hang my 3-year-old and 1-year-old and kidnap my 14-year-old.,0,0,1,0,0,0,0,1
They told my daughter “we are gonna get some people and kill your dad.,0,0,0,0,0,0,0,1
Another student told my daughter that she and the first student and her adult friends are going to kill me and carve a satanic star in my chest and rip out my organs.,0,0,0,0,0,0,0,1
"”This is exactly what I warned about in my book, Stop the Islamization of America: A Practical Guide to the Resistance , in the chapter “The Mosqueing of the Public Schools.",0,0,0,0,0,0,1,1
And it’s a problem not just in West Virginia – it’s a national problem.,0,0,0,0,0,0,1,0
Is the principal acting on this?,0,0,1,0,0,0,0,0
And do the police have any interest in this?,0,0,1,0,0,0,0,0
Or would that be “islamofauxbic”?,0,0,1,0,0,0,0,0
These days it’s instead partnering with Jewish Voice for Peace: an anti-Israel BDS hate group that defends anti-Semitism and which sponsored talks by an anti-Semite who accused Jews of drinking blood.,1,0,0,0,0,0,0,0
These days it’s instead partnering with Jewish Voice for Peace: an anti-Israel BDS hate group that defends anti-Semitism and which sponsored talks by an anti-Semite who accused Jews of drinking blood. The fruits of the AJHS and JVP partnership have been a series of events attacking Israel.,0,0,0,0,0,0,0,0
"He had tweeted, ""EU no longer considers #Hamas a terrorist group. Time for US to do same.”",0,0,0,0,0,1,0,0
” And that Jews suffer from a “Holocaust Syndrome” of entitlement.,0,0,0,0,0,0,0,0
"He justified hijacking planes, described suicide bombers as “taking the supreme sacrifice” and defended Hezbollah as “an armed-resistance movement” He has claimed that the ""Jewish community gradually consolidated its power, wealth, and influence in all sectors of society"" especially in ""crucial sectors like banking, finance, media” where ""their influence both as individuals and an organized community far exceeded their numbers"" and that their power strengthens “conspiracy theories about ‘Jewish control’ that are reminiscent of the infamous “’Protocols of the Elders of Zion.",1,0,0,0,0,0,0,0
"A third AJHS-JVP event featured Efrat Yerday, an anti-Israel activist, accusing Israel of racism.",0,0,0,0,0,0,0,1
Its perversion by the radical anti-Jewish and anti-Israel left to serve anti-Semitic narratives is tragic.,0,0,0,0,0,0,0,0
Is co-sponsoring events with a hate group that has sponsored talks by a woman who accused Jews of drinking blood also apolitical scholarship?,0,0,0,0,0,0,0,0
"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews. As the anti-Israel radicalism of the left grows, such choices will become even more obscenely simple.",0,0,1,0,0,0,0,0
"Efrat has claimed that, ""Zionism does not only dispossess Palestinians, but it also dispossesses in a very sophisticated way, non-white Jews. Being Jewish is highly identified with being white because of Zionism.",0,0,0,0,0,0,1,0
"Even as the Myers scandal continues to simmer, the AJHS partnership with JVP is making the choice painfully clear.",0,0,0,0,0,0,0,0
We all have choices to make.,0,0,0,0,0,0,0,0
"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews.",0,0,0,1,0,0,0,0
"Turkish authorities and media have said audio recordings show that Khashoggi was tortured and beheaded inside the consulate, although the recordings have not been released.",0,0,1,0,0,0,0,0
"“And as they unfold, as we make a determination for ourselves about what happened there, based on the facts that are presented to us, the United States will determine what the appropriate response might be.",0,0,0,0,0,0,1,0
"“But it is extremely dangerous as the head of the Catholic Church — you know, the last appeal — that this is the kind of behavior that is going to be mimicked around the world by bishops, [who will say] ‘Well if the Pope is not going to intervene and impose zero tolerance, why should I?",0,0,0,0,0,1,0,1
Evidence shows Pope Francis is a ‘principal in a cover-up’ of clergy sex-abuse in Chile: Expert,1,0,0,0,0,0,0,0
", February 12, 2018 (LifeSiteNews) – Those familiar with Jorge Bergoglio in Argentina before he became Pope Francis say it is a “classic” move of his to provide “mercy” to clergy who are sexual predators while asking everybody else to simply “move on,” said attorney and child advocate Elizabeth Yore on an EWTN show last week.",1,0,0,0,0,0,0,0
"It is mercy for the predator priests,” she told EWTN’s Raymond Arroyo on the February 8 episode of World Over.",1,0,0,0,0,0,0,0
"“There are many people who know the Pope from Argentina who have said this is classic Bergoglio to provide mercy to the predators and ask everybody else to move on,” she added.",1,0,0,0,0,0,0,0
"“The Barros case is putting the Pope, for the first time, in the middle as a principal in a cover-up,” Yore said during the interview.",1,0,0,0,0,0,0,0
Yore called the child sex abuse case involving infamous Chilean priest abuser Father Fernando Karadima and Bishop Juan Barros “a scandal of epic proportions.,1,0,0,0,0,0,0,0
Yore called the child sex abuse case involving infamous Chilean priest abuser Father Fernando Karadima and Bishop Juan Barros “a scandal of epic proportions.”,0,0,0,0,0,0,0,0
"He’d testified about three bishops who had witnessed abuse, he said, but Barros had special significance for him because Barros’ part went beyond witnessing the abuse, to violating his seal of Confession with Karadima and psychological abuse through intimidation.",0,0,0,0,0,0,0,0
"“Here we have victims 10, 15 years after their abuse, begging the Pope, having to take pictures of a letter that’s handed to a cardinal to ensure that there is evidence that the Pope is receiving this information.",0,0,0,0,0,0,0,0
"The whole of Latin America, including Argentina, was well aware of what was happening when this case broke in Chile in 2010, Yore noted, and yet the Pope continues to shrug his shoulders and say he has no information.",0,1,0,0,0,0,0,0
"This was precisely what he’d been saying when he was cardinal and archbishop in Buenos Aires, she said, that no one ever came forward with information, and there were never any cases of clerical abuse in the entirety of the two-million-plus member Archdiocese of Buenos Aires.",0,1,0,0,0,0,0,0
"“This isn’t just simply a cover-up of a predator priest,” Yore stated.",1,0,0,0,0,0,0,1
"“This is also sexual exploitation of children in a grooming gang, a predator priest.",1,0,0,0,0,0,0,0
"“Those cases are going to be haunting this papacy and really causing a rift in the major protection of children that Pope Benedict had worked very hard to really build up,” she said.",0,0,0,0,0,0,0,0
"Francis encountered protests in Chile over his defense of Barros during his visit there last month, calling the accusations against the priest “calumny.",1,0,0,0,0,0,0,0
"While Francis later apologized, he persisted in defending Barros, denying that he had received any testimony himself and restating that such unproven accusations are “slander.",0,0,0,0,0,0,0,0
"Arroyo spoke with Cruz as well, who said he was “incredibly frustrated” when Barros was going to be appointed.",0,0,0,0,0,0,0,0
This is why it is so heinous.,0,0,0,0,0,0,0,0
“I'm still racking my brain for what did I miss.,0,0,0,0,0,0,0,0
"” Instead, the tough-talking politician said they were regarded as “Muslim invaders.",0,0,0,0,0,0,0,1
"And Orban has stayed the course, too while governments like that of Germany have ignored their people to allow for a clear invasion of Germany that has led to untold numbers of sexual assaults by Muslim migrants, attacks on Christians and there's no telling the amount of damage to the unethical welfare system in the country. RT continues:",0,0,0,0,0,0,0,0
Thank you Prime Minister Orban for saying what needed to be said!,0,0,0,0,0,0,0,0
"Furthermore, Orban has also called out the man behind the curtain in a lot of the promoting of this Muslim invasion of the West, George Soros.",1,0,0,0,0,0,0,1
"Hungarian Prime Minister Hits Nail On The Head: Refugees Are Actually ""Muslim Invaders”",1,0,1,0,0,0,0,1
Hungarian Prime Minister Viktor Orban doesn't mince words when it comes to the Muslim invasion in Europe and specifically to his own country.,0,0,0,0,0,0,0,1
"Orban says there is not only Muslim invaders in the mix of ""refugees,"" but also “economic migrants"" seeking better lives for themselves.",1,0,0,0,0,0,0,1
"Refugees in Europe are just “Muslim invaders” and economic migrants seeking better lives, Hungarian PM Viktor Orban has said, adding that the large number of Muslims in the EU had led to the appearance of ‘parallel societies.",1,0,0,0,0,0,0,1
He has publicly told the Muslim invaders to leave Hungary and never come back.,0,0,0,0,0,0,1,1
"Anti-jihadist activist Pamela Geller praised Orban for his honesty and wrote, ""At last, a politician who speaks the truth about the Muslim invasion of Europe.",0,0,0,0,0,0,0,1
"And while Orban is right that these are 'economic migrants,' they are also 'Muslim invaders.'”",0,0,0,0,0,0,0,1
"He stressed though, that he can only speak for the Hungarians and they “don’t want” immigration.",0,0,0,0,0,0,0,0
"“I’ve never understood how chaos, anarchy and illegal border crossings are viewed as something good in a country like Germany, which we view as the best example of discipline and the rule of law,” he said.",0,1,0,0,0,0,0,0
"The recent wave of refugees reaching Europe is merely an invasion, according to Orban.",0,0,0,0,0,0,0,1
"He called it an ""illusion"" and said that Christian and Muslim societies “will never unite.”",0,1,0,0,0,0,0,0
They have absolutely nothing in common.,0,1,0,0,0,0,0,0
"They are in Europe to conquer and Islamize it, with willing and eager help from Europe’s short-sighted, self-serving, internationalist intelligentsia."" Indeed!",0,0,0,0,0,0,0,0
Indeed!,0,0,0,0,0,0,0,0
"Then, there are those who clearly come to the country to Islamasize the country because they have an Islamic dominionist attitude borne of the teachings of the Koran and Muhammad .",0,0,0,0,0,0,0,0
"He has genuinely reached out his hand to help Christian migrants instead of Muslim migrants and he seems to be one that holds to the Christian faith, as emulated by the Protestant Reformers, saying, ""That which serves the glory of God is the best for the people."" Furthermore, Orban has also called out the man behind the curtain in a lot of the promoting of this Muslim invasion of the West, George Soros.",0,0,0,0,0,0,1,0
"There are plenty of these people who are simply happy to have a place to live after many were driven from their homes due to the US, Russia and other countries putting their noses where they didn't belong and funding, training and arming Islamic jihadis there.",0,0,0,0,0,0,0,0
"And Orban has stayed the course, too while governments like that of Germany have ignored their people to allow for a clear invasion of Germany that has led to untold numbers of sexual assaults by Muslim migrants, attacks on Christians and there's no telling the amount of damage to the unethical welfare system in the country.",0,0,0,0,0,0,0,0
"“The reason why people are in your country is not because they are refugees, but because they want a German life,” he said, describing the issue “politically” as a European problem but, “sociologically,” as a German problem.",0,0,0,1,0,0,0,0
"They cannot agree on God's law, which most Western societies were base on, including the united States.",0,0,1,0,0,0,1,0
They cannot agree on the Scriptures.,0,0,0,0,0,0,0,1
They cannot agree on the person and work of Jesus the Christ.,0,0,0,0,0,0,0,1
"He has rebuffed Brussels, which is largely Islamic, and told them that Hungary would defend its borders, and it has.",0,0,0,0,0,0,1,0
"“Many, all too many, of them want to overwhelm German values, and European values in general, with sharia values.",0,0,1,0,0,0,0,1
"They are in Europe to conquer and Islamize it, with willing and eager help from Europe’s short-sighted, self-serving, internationalist intelligentsia.",1,0,1,0,0,0,0,0
"The commission was behind Francis’ decision in 2015 to create a new tribunal to judge bishops caught covering up for abusive priests, and to fund it for five years.",1,0,0,0,0,0,0,0
"Commission members said bishops should call the police when they discovered predator priests, rather than phone the nearest religious retreat to “park” the priest out of harm’s way.",0,0,0,0,0,0,0,1
"He said the group was a toothless, paper-shuffling exercise. Irish member Marie Collins, another victim, resigned in March last year and said Vatican bureaucrats had refused to comply with the commission’s request — approved by the pope — to respond to all letters sent to the Vatican by abuse victims.",1,0,0,0,0,0,0,0
"That was too much for O’Malley, who said Francis had caused ""great pain” to victims. If Francis was not listening to the commission about Barros, whom was he listening to?",0,0,0,0,0,0,0,0
"He said the group was a toothless, paper-shuffling exercise.",0,0,0,0,0,0,0,0
"The pope has stuck by Barros, dismissing the protesters as “lefties” and hugging Barros publicly during his visit to Chile last month.",1,0,0,0,0,0,0,0
"If Francis was not listening to the commission about Barros, whom was he listening to?",0,0,1,0,0,0,0,0
"Recently a Muslim spokesman in Tunisia named Said Khecharem, who is affiliated with the international pro-Sharia, pro-caliphate organization Hizb ut-Tahrir, declared (to delighted screams of “Allahu akbar” from his audience), that the “establishment of an Islamic state…requires the conquest of America, Britain, Russia, France, and Italy – Rome and other infidel lands will be conquered, Allah willing.",0,1,0,0,0,0,1,0
"According to the Middle East Media Research Institute (MEMRI), Khecharem also said: “After the laws of Allah were abandoned, and the heretic regimes were imposed on the Muslims, the most important thing to do is to restore the rule of the Muslims, through the Quran and the Sunna, in order to renew Islamic life and to deliver the Islamic message to the world. My brothers, the implication of this today should be the establishment of an Islamic state over all the lands of the Muslims.",0,0,0,0,0,0,1,0
"And no call to restore the caliphate would be complete without a swipe at the Jews, whom the Qur’an designates (5:82) the worst enemies of the Muslims.",1,0,0,0,0,0,0,0
"Khecharem predicted that “this will happen, of course, after the elimination of the filthy Jewish entity, and after liberation of the lands under direct colonization, like Kashmir and others.",0,0,0,0,0,0,0,0
"These weren’t the actions of a “tiny minority of extremists,” abhorred by the vast majority of peaceful Muslims for “hijacking” their religion.",1,0,0,0,0,0,0,0
"There is still no mosque or Islamic school in the United States that teaches young Muslims why they should reject the understanding of Islam taught by al-Qaeda, ISIS, and other jihad terror groups.",0,0,0,0,0,0,0,0
"Instead, if they have taken any notice of him at all, which is unlikely, they have dismissed him as an “extremist.",1,0,0,0,0,0,0,0
