text,"['Name_Calling,Labeling']","['Exaggeration,Minimisation']","['Doubt', 'Appeal_to_fear-prejudice']",['Black-and-White_Fallacy'],"['Straw_Men', 'Whataboutism', 'Red_Herring']",['Bandwagon'],['Flag-Waving'],"['Repetition', 'Slogans']"
"The mullahs have become cognizant of the fact that there’s a new sheriff in town, one that backs up tough talk with action and doesn’t ask “how high” when they say “jump.",0,0,0,0,0,0,0,0
"When it comes to Iran’s governing authorities, the Trump administration is under no illusions about the nefarious nature of this fascist theocracy.",0,0,0,0,0,0,0,0
Obama’s near messianic zealotry in his interactions with the mullahs severely compromised America’s national security and weakened its image on the international stage.,1,0,0,0,0,0,0,0
"But the deterrent effect of the Navy’s 5th Fleet, and for that matter America’s military might, is only as effective as the political leadership that commands it, and Barack Obama as Commander in Chief of the armed forces did little to instill fear or project deterrence.",0,0,0,0,0,0,0,0
"The navy termed these near ritualistic, belligerent encounters, “unsafe and unprofessional.",0,0,0,0,0,0,0,0
This wasn’t empty rhetoric.,0,0,0,0,0,0,0,0
“It sounds to me it sounds crazy.,0,0,0,0,0,0,0,0
"“Because it's a Muslim and the circumstances that are surrounding their situation, they want to change the narrative.",0,0,0,0,0,0,0,0
The documents claim Siraj Ibn Wahhaj and his co-defendants conducted weapons training at the camp where they were found Friday with 11 children in allegedly “third world” conditions.,1,0,0,0,0,0,0,0
"People can continue to put their heads in the sand all they want to because they know ""nice"" Muslim people, but the fact of the matter is that the history of Islam is anything but nice, polite, just or holy . It is a totalitarian, religious/political construct that is full of oppression.",0,0,1,0,0,0,0,0
"Authorities said the father at some point told his wife he wanted to perform an exorcism on the boy, who cannot walk, suffers seizures and requires constant attention because of a lack of oxygen and blood flow at birth.",0,0,0,0,0,0,0,0
"The imam said he was unaware of the training of the children for school shootings, but his mosque has been known to attract Islamic jihadis over the years.",1,0,0,0,0,0,0,0
"But I don't know,"" he said. ""I make no judgments yet because we don't know.",0,0,0,0,0,0,0,0
"Again Fox adds, ""The imam's mosque has attracted a number of radicals over the years, including a man who later helped bomb the World Trade Center in 1993.",0,0,0,0,0,0,0,0
"That's hardly a ""domestic situation.",1,0,0,0,0,0,0,0
"People can continue to put their heads in the sand all they want to because they know ""nice"" Muslim people, but the fact of the matter is that the history of Islam is anything but nice, polite, just or holy .",1,0,0,0,0,0,0,0
"Justice should be served swift, and I don't mean a lengthy jail term.",0,0,1,0,0,0,0,0
"Mosque spokesman Ali Abdul-Karim Judan claims that the narrative is being changed because Muslims are involved and that this was nothing more than a ""domestic situation.",0,1,0,0,0,0,0,0
"It is a totalitarian, religious/political construct that is full of oppression.",1,0,0,0,0,0,0,0
"A couple of seemingly unrelated events this past week point to Iran’s positioning itself for more aggressive military actions that could place U.S. forces in harm’s way. On Tuesday, Major General Bagheri landed in Damascus for talks with Syrian President Bashar Assad and senior Syrian officials, including the defense minister and the chief of staff of the Syrian armed forces.",0,0,1,0,0,0,0,0
"Iran must be judged in totality of its aggressive, destabilizing, and unlawful behavior.",0,0,0,0,0,0,0,1
"“When a rogue regime starts down the path of ballistic missiles, it tells us that we will soon have another North Korea on our hands,” Ambassador Haley said.",0,0,1,0,0,0,0,0
They are a perfect match for each other.,0,0,0,0,0,0,0,0
"Last July, Major General Mohammad Bagheri, the Iranian Revolutionary Guards (IRGC) military commander and chief of staff of Iran’s armed forces, warned that “putting the Revolutionary Guard in the terrorist lists with terrorist groups can be very costly to the United States and its military bases and forces in the region.” IRGC commander Mohammad Ali Jafari said on October 8th that ""if the news is correct about the stupidity of the American government in considering the Revolutionary Guards a terrorist group, then the Revolutionary Guards will consider the American army to be like Islamic State all around the world.",0,0,1,0,0,0,0,0
"” IRGC commander Mohammad Ali Jafari said on October 8th that ""if the news is correct about the stupidity of the American government in considering the Revolutionary Guards a terrorist group, then the Revolutionary Guards will consider the American army to be like Islamic State all around the world.",0,0,0,0,0,0,0,0
"The Iraqi branch of Iran’s terrorist proxy Hezbollah has vowed that once ISIS is defeated it will start killing Americans, as it has done before. It is against this backdrop that U.",0,0,1,0,0,0,0,0
“That’s because nearly every threat to peace and security in the Middle East is connected to Iran’s outlaw behavior.,0,0,0,0,0,0,0,0
"The Heritage Foundation noted in its recent report on the JCPOA, for example, that Iran was “caught red-handed trying to purchase nuclear technology and restricted ballistic missile technology from German companies.",0,0,0,0,0,0,0,0
They are a perfect match for each other. Proponents of the JCPOA argue that exiting the nuclear deal unless it is changed to the Trump administration’s satisfaction would undermine U.,0,0,0,0,0,0,0,0
"The whole point is to prevent Iran from becoming the next North Korea, not to kick the can down the road as usual.",0,0,0,0,0,0,0,0
"Thus, it is threatening U.S. forces and bases in the region.",0,0,1,0,0,0,0,0
"This will not only serve to bolster the Assad regime, but it also will strengthen Iran's ability to follow through on its threats to the U.S. and its allies, principally Israel. Meanwhile, following the departure of the Kurds from Kirkuk, Iraq earlier this week, the IRGC’s operational Al Qods arm reportedly established a command center and five bases there.",0,0,1,0,0,0,0,0
To do otherwise would be foolish.” Ambassador Haley accused the Iranian regime of continuing to “play” the Security Council.,0,0,1,0,0,0,0,0
She also pointed to what she called the Iranian regime’s “most threatening act” – its launch of ballistic missiles capable of carrying nuclear weapons.,0,0,1,0,0,0,0,0
"“If it is wrong for North Korea to do this, why doesn’t that same mentality apply to Iran? “ As for the Iran’s supposed technical compliance with its commitments under the nuclear deal itself, known as the Joint Comprehensive Plan of Action (JCPOA), the UN’s international inspectors are not able to visit Iran’s military sites.",0,0,0,0,0,0,0,0
Does anybody with a modicum of sense really believe that such collaboration between the two rogue nations is not going on today?,0,0,0,0,0,0,0,0
"“If we want to talk to North Korea now, the possible end for the nuclear deal with Iran would jeopardize the credibility of such treaties,"" Reuters quoted German Foreign Minister Sigmar Gabriel as saying.",0,0,1,0,0,0,0,0
Black Death: ‘It’s 100 % Likely’ It Spreads To The UK And A ‘Ticking Time Bomb’ Ready To Decimate The World,1,0,0,0,0,0,0,0
"Official figures reveal 165 people have now lost their lives in Madagascar’s “worst outbreak in 50 years.” Recent data shows a 15 percent jump in fatalities over just three days, coupled with scientists concerned that the black death has reached a “crisis” point.",0,1,0,0,0,0,0,0
"Ten other African countries have also been placed on high alert, warning that an outbreak could occur at any time.",0,0,1,0,0,0,0,0
Some experts fear the disease (which is so deadly because it is airborne) could mutate and become untreatable during this year’s outbreak – which is expected to blight Madagascar until April.,0,0,1,0,0,0,0,0
"The bubonic form of the plague, responsible for the “Black Death” in the 14th century strikes the country each year and infects around 600 people.",1,0,0,0,0,0,0,0
"A few health experts have warned that there is no threat to the UK, however, some have warned the plague outbreak will certainly spread to the region.",0,0,0,0,0,0,0,0
"Richard Conroy, the founder of Sick Holiday, has sent a chilling warning to UK authorities.",0,0,0,0,0,0,0,0
"“I believe that it’s 100 percent likely that plague will arrive in the UK once more – it’s just a question of ‘when’, not ‘if’.",0,0,1,0,0,0,0,1
Conway is saying it’s “only a matter of time” before the disease arrives on British soil.,0,0,0,0,0,0,0,1
Conroy warned it is inevitable that the plague will spread due to the vast movement of people across the globe.,0,0,0,0,0,0,0,1
"Others worry the plague will go beyond mainland Africa and eventually reach the US, Europe, and Britain.",0,0,1,0,0,0,0,0
"That would leave millions more vulnerable to the outbreak, and create a short supply of life-saving antibiotics.",0,0,1,0,0,0,0,0
"If we don’t carry on doing stuff here, at one point something will happen and it will get out of our control and cause huge devastation all around the world.",0,0,1,0,0,0,0,0
"” There is always a risk with travel that the disease will spread globally, Hunter added.",0,0,1,0,0,0,0,0
"And it’s not an exaggeration to say that this is a real threat – a ticking time bomb that’s waiting to decimate the world,” Conroy continued.",0,0,1,0,0,0,0,0
"The apartment was dark and when she saw ""a large silhouette,"" Guyger thought she was being burglarized, the affidavit says.",0,0,0,0,0,0,0,1
"The affidavit says Guyger drew her gun, ""gave verbal commands that were ignored"" and fired twice.",0,0,0,0,0,0,0,1
"When she arrived at Jean's door, Guyger entered a unique door key with an electronic chip into the keyhole, the affidavit says.",0,0,0,0,0,0,0,1
"She told the 911 operator as well as responding officers that she thought she was at her apartment when she shot Jean, according to the affidavit.",0,0,0,0,0,0,0,1
"The affidavit says the apartments' ""respective interior floorplans are in most ways identical or extremely similar.",0,0,0,0,0,0,0,1
"Jean, who lived on the fourth floor of the South Side Flats in the Cedars, was home alone when Guyger mistook his apartment for hers, the affidavit says.",0,0,0,0,0,0,0,1
"Guyger lived on the third floor, directly beneath his apartment, and mistakenly parked on the fourth floor after finishing a shift at the Dallas Police Department, the affidavit says.",0,0,0,0,0,0,0,1
"She turned on the lights, then went to the front door again and realized the apartment wasn't hers, the affidavit says.",0,0,0,0,0,0,0,1
"One of the officers was trying to search Perez when he became combative, the affidavit said.",0,0,0,0,0,0,0,1
"As Miller documented, this official — whom the paper did not name because she was a covert agent at the time — was centrally involved in the worst abuses of the CIA’s Bush-era torture regime.",1,1,0,0,0,0,0,1
” The Senate Intelligence Committee’s report on torture also detailed the central role she played in the particularly gruesome torture of detainee Abu Zubaydah.,0,0,0,0,0,0,0,0
"Even more troubling, she “had run a secret prison in Thailand” — part of the CIA’s network of “black sites” — “where two detainees were subjected to waterboarding and other harsh techniques.",0,0,0,0,0,0,0,0
“They were dragging their feet.,0,0,0,0,0,0,0,0
"“We are just beyond frustrated that they took so long,"" Tanya Badger said.",0,0,1,0,0,0,0,0
"Compound wasn't searched thoroughly, couple say",0,0,1,0,0,0,0,0
"“It was the saddest living conditions and poverty I have seen,"" Hogrefe said.",0,1,0,0,0,0,0,0
"When officers executed a search warrant on the compound, they found a horrifying scene.",0,0,0,0,0,0,0,0
"“When we first went up there, nothing was overturned,"" he said. ""You could tell nobody had looked underneath that, nobody had looked underneath this."" Father allegedly took boy in November",0,0,1,0,0,0,0,0
Couple question why police waited so long to search New Mexico compound,0,0,1,0,0,0,0,0
(CNN) A New Mexico couple told authorities months ago they thought a missing Georgia boy and his fugitive father were living in a filthy compound on their property.,1,0,0,0,0,0,0,0
"“They were dragging their feet. They were taking too long,"" said Tanya Badger, who with her husband, Jason, told authorities about the boy's suspected presence at the compound.",0,0,1,0,0,0,0,0
"The remains were discovered in a wretched compound along with 11 starving children, authorities said.",1,0,0,0,0,0,0,0
More details about the horrid compound could be revealed Wednesday when the five adults arrested from the site make their first court appearances.,1,0,0,0,0,0,0,0
Neighbors raised alarm about a suspect,0,0,0,0,0,0,0,0
These people just kind of (sprang) up very quickly.,0,0,0,0,0,0,0,0
"However, the Badgers said that police did not do a thorough job searching the property.",0,0,1,0,0,0,0,0
"An arrest warrant states that Wahhaj ""wanted to perform an exorcism"" on the child because he believed he was possessed by the devil.",0,0,0,0,0,0,0,0
"“Even if they were trying to build a case or whatnot, a child's life is at stake.",0,0,1,0,0,0,0,0
"The children wore dirty rags for clothing with no shoes, and were surrounded by weapons and rounds of ammunition, authorities said.",0,0,0,0,0,0,0,0
"They said they were surprised to see the scene was not taped off and was still largely untouched. They found two guns, ammo, tactical vests and video cameras that police initially missed, Jason Badger said.",0,0,1,0,0,0,0,0
"Well, all of this should make Americans feel just comfy, right? I mean, after all, Barack Hussein Obama Soetoro Sobarkah is out of office so these things aren't really going on in America, right?",0,0,0,0,0,0,1,0
"Here's the thing, while this is making major news, you should be reminded that for decades, at least 22 verified Islamic jihadi camps have existed on American soil under the watchful, or maybe not so watchful, eye of the FBI, including one in the very country I reside in within eyeshot of a nuclear power plant.",0,0,1,0,1,0,1,0
He was attempting to brainwash and train these kids to carry out school shootings.,0,0,0,0,0,0,0,0
"Well, all of this should make Americans feel just comfy, right?",0,0,0,0,0,0,0,0
"Political correctness needs to be thrown out the window when dealing with those who take the Quran's teachings seriously and actually are devout, not radical, followers of Muhammad.",1,0,1,0,0,0,0,0
"Earlier, I blogged that the police had released the name of the suspect in the murder of two white Westerville, OH cops (Quentin Lamar Smith) but no picture had appeared.",0,0,0,0,1,0,0,0
"( Most people named Quentin Lamar Smith are black, by the way.",0,0,0,0,1,0,0,0
He called them “true American heroes.” The Columbus Police Department is investigating the shootings.,0,0,0,0,0,0,1,0
"Anyhow, they have now released a different photo (above)and it is the same guy, and he is black.",0,0,0,0,1,0,0,0
"If these two men had survived, and Quentin Lamar Smith had died, you'd be hearing a lot about the race issue.",0,0,0,0,1,0,0,0
"This goes in our ""Black Murders Of White Cops"" category, and also in our ""Not Reporting Race"" category, since except for the photograph, there's no mention of the race issue.",0,0,0,0,0,0,0,0
And that shows that all their #MeToo rhetoric is pure politically-motivated hypocrisy — as if anyone didn’t know that by now.,0,0,0,0,0,0,0,1
No more!,0,0,0,0,0,0,0,1
"That heralds the death of Britain as a free society and the beginning of an authoritarian police state there, unless this slide to totalitarianism is stopped now.",0,0,0,1,0,0,1,0
We will never surrender.,0,0,0,0,0,0,0,1
And we will protect our people.,0,0,0,0,0,0,1,1
Theresa May’s relentlessly appeasement-minded government also admitted two jihad preachers who had praised the murderer of a foe of Pakistan’s blasphemy laws.,0,0,0,0,0,0,0,0
"British public figures, whatever criticism they have leveled against Tommy Robinson in the past, should be calling for him to be freed today, or else they will be exposing themselves as supporting the degeneration of Britain into a police state.",0,0,0,1,0,0,0,0
"But I say, no more!",0,0,0,0,0,0,0,1
No more tyranny.,0,0,0,0,0,0,0,1
"And if we complain about it, they call us racists and Islamophobes.",1,0,0,0,0,0,0,0
"Pamela Geller and I were banned from entering Britain in 2013, apparently for life, also for the crime of telling the truth about Islam and jihad.",0,0,0,1,0,0,0,0
"Meanwhile, Britain has a steadily lengthening record of admitting jihad preachers without a moment of hesitation.",0,1,0,0,0,0,0,0
"Syed Muzaffar Shah Qadri’s preaching of hatred and jihad violence was so hardline that he was banned from preaching in Pakistan, but the UK Home Office welcomed him into Britain.",1,0,1,0,0,0,0,0
"And so he entered, and spoke, and gave them a strong dose of the reality that they are determined to ignore and deny.",0,0,0,1,0,0,0,0
"Several years ago he was banned from entering the country, but although the ban was reversed on appeal, the British government recently banned Martin Sellner, Brittany Pettibone, Lauren Southern and Lutz Bachmann from entering, all for the crime of opposing jihad terror and Sharia oppression, and thereby made it clear that it is more authoritarian and unwilling to uphold the freedom of speech than ever – at least when it comes to criticism of Islam, Muslim rape gangs, and mass Muslim migration.",0,0,0,0,0,0,0,1
Tommy Robinson is in prison today because he violated a court order demanding that he not film videos outside the trials of Muslim rape gangs.,0,0,0,0,0,0,0,1
"Clearly the government’s intent was to make sure that as few people as possible discovered the truth about its massive, years-long cover-up of those rape gangs, and refusal to prosecute the perpetrators.",0,0,0,0,1,0,0,1
"Theresa May and company obvious hope that other Britons who are furious about the sacrifice of thousands of British girls to the idols of “diversity” and “multiculturalism” will see what happened to Tommy, and be frightened into silence.",0,0,0,0,0,0,1,0
We will stand strong and do our duty.,0,0,0,0,0,0,1,1
We will defend our civilization.,0,0,0,0,0,0,1,1
"Take notice, Dutch Prime Minister Rutte.",0,0,0,0,0,0,0,1
"So take notice, Theresa May.",0,0,0,0,0,0,0,1
"Take notice, Mrs.",0,0,0,0,0,0,0,1
Take notice: the future is ours and not yours.,0,0,0,0,0,0,1,1
"We will defeat you politically, because we, my friends, we are the people.",0,0,0,0,0,0,1,1
"If Wilders’ words don’t prove true, it will be because the death of free societies in Britain and Western Europe is truly at hand. [Photo by Jan Kranendonk]",0,0,0,1,0,0,0,0
"“Our governments,” Wilders declared, “sold us out with mass immigration.",0,0,0,0,0,0,1,0
"Wilders addressed this endeavor head-on, declaring: “We will not be silenced.",0,0,0,0,0,0,0,1
We will not be intimidated.,0,0,0,0,0,0,0,1
"And we tell the governments, we are not afraid of you.",0,0,0,0,0,0,0,1
Deadly Plague Could MUTATE And Become Untreatable As It Spreads Globally,0,0,1,0,0,0,0,1
But health officials are now warning the deadly bacteria could mutate and become untreatable as it spreads across the globe.,0,0,0,0,0,0,0,1
"Coupled with the high likelihood that this disease could spread globally by an infected traveler getting on a plane to Europe or America, health officials are now warning that the strain of plague which has already killed more than 140 Madagascar could mutate and become untreatable.",0,0,0,0,0,0,0,1
"Professor Paul Hunter has warned that, while it would be rather easy for an advanced country to contain the disease in its current form, he fears that it could evolve into something far more dangerous.",0,0,1,0,0,0,0,1
"“As with any disease, it’s a real worry that it mutates and become untreatable,” Hunter said.",0,0,0,0,0,0,0,1
"So far, the majority of the recent cases of the black death have the been pneumonic plague, a more deadly form of the bubonic plague which devastated Europe’s population in the 1300s.",0,0,0,0,0,0,0,0
Airborne infections are difficult at best to control.,0,0,0,0,0,0,0,0
Ten African nations have already been put on alert that the plague could easily spread to their region of the globe.,0,0,1,0,0,0,0,0
"As TFTP previously reported, the idea of not firing Guyger seemed utterly preposterous as she admitted to doing something wrong.",0,0,0,0,0,0,0,0
"Dallas, TX — After the Dallas police department refused to fire an officer who admitted to killing an innocent man, outrage erupted, and rightfully so.",1,0,0,0,0,0,0,0
This public servant walked into an innocent man’s home and shot him dead.,1,0,0,0,0,0,0,1
"Codifying the behavior of journalists struck some as an ominous encroachment into freedom of the press, and the White House Correspondents’ Association said on Monday that it had not been consulted about the new guidelines.",0,0,0,0,0,0,0,0
"Acosta on one occasion, for questions he deemed overly aggressive or grandstanding.",0,0,0,0,0,0,0,0
That notion read more like a warning — behave or else — and the Correspondents’ Association seemed unmoved.,0,0,0,1,0,0,0,0
"CNN in turn dropped its lawsuit on the matter, which had ballooned into a test of press freedoms in the Trump era.",0,0,0,0,0,0,0,0
Acosta — whose testy questions had touched off Mr.,0,0,0,0,0,0,0,0
"Trump’s ire — the administration used the occasion to lay down a set of formal rules governing reporters’ behavior at future White House news conferences, a highly unusual step.",0,0,0,0,0,0,0,0
Trump often lobs insults at journalists and encourages a free-for-all format when taking questions from reporters.,0,0,0,0,0,0,0,0
"Trump, a devoted news consumer who relishes his coverage, plays up his conflicts with reporters in part to excite his supporters.",1,0,0,0,0,0,0,0
"Acosta’s White House badge was the most severe step yet, and it soon became apparent that the move would not pass legal muster: After suing last week, Mr.",0,0,0,0,0,0,0,0
Trump flouts many of the norms associated with his office.,0,0,0,0,0,0,0,0
"For years, the FBI and local law enforcement did nothing about this jihad compound, despite tips and numerous calls from concerned citizens. It took the murder of a child to get them to pay attention. What is the first thing they do after it is discovered a child was murdered on the compound and several starved to almost certain death? They destroyed the compound to cover up both their negligence and what happened there.",0,0,1,0,0,0,0,0
Horrifying Details Released: 2 Jihadi Muslims At Deadly NM Islamic Compound Hit With New Charges,1,0,0,0,0,0,0,0
New charges were filed against the devout (“extremist)” Muslims.,1,0,0,0,0,0,0,0
Law enforcement rushed to destroy the Islamic compound just days after the kidnapping and murder made national news.,0,0,0,0,0,0,0,0
"They destroyed evidence, despite the fact that the investigation was new and ongoing.",0,0,1,0,0,0,0,0
"For years, the FBI and local law enforcement did nothing about this jihad compound, despite tips and numerous calls from concerned citizens.",1,1,0,0,0,0,0,0
They destroyed the compound to cover up both their negligence and what happened there.,0,0,0,0,0,0,0,0
"News of what happened there was embarrassing to the Muslim community in the U.S., and making Islam look good seems to be the top priority of law enforcement officials.",0,0,0,0,0,0,0,0
It’s sharia compliance in New Mexico.,0,0,0,0,0,0,0,0
"She says Franken ""aggressively stuck his tongue in my mouth"" when the pair rehearsed a skit that featured a kiss.",0,0,0,0,0,0,0,0
"A woman described as a ""former elected official in New England"" told the Jezebel website that Franken tried to give her a ""wet, open-mouthed kiss"" during an event in 2006.",0,0,0,0,0,0,0,0
"In a statement following that accusation, Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described.",0,0,0,0,0,0,0,0
"Tina Dupuy writes in The Atlantic that Franken put his hand around her waist while the pair posed for a photo and squeezed ""at least twice"" during an event in 2009.",0,0,0,0,0,0,0,0
"While he was being confirmed as CIA chief, the former lawmaker lashed out at Russia for reasserting ” itself aggressively, invading and occupying Ukraine, threatening Europe, and doing nearly nothing to aid in the destruction and defeat of ISIS.",0,1,0,0,0,0,0,0
"Trump fires Tillerson, replaces with former top spook",1,0,0,0,0,0,0,0
He will do a fantastic job!,0,1,0,0,0,0,0,0
This is yet another big shake-up for Trump’s still-young administration — and it may be the most important one to date.,0,1,0,0,0,0,0,0
"In fact, he believes Barack Obama got Russian help too. While he was being confirmed as CIA chief, the former lawmaker lashed out at Russia for reasserting ” itself aggressively, invading and occupying Ukraine, threatening Europe, and doing nearly nothing to aid in the destruction and defeat of ISIS.",0,0,0,0,1,0,0,0
"Again, if you liked Obama-era, world-on-fire, Russians everywhere State Department shenanigans, this is your guy.",0,0,0,0,0,0,0,0
“It is time to call out WikiLeaks for what it really is – a non-state hostile intelligence service often abetted by state actors like Russia.,1,0,0,0,0,0,0,0
"involvement in Syria (hello, Russian proxy war), ratcheting pressure on Iran and regime change in North Korea.",0,0,0,0,1,0,0,0
"She’s a big fan of torture, according to a 2013 Washington Post article pointed out this morning by The Intercept:",1,1,0,0,0,0,0,0
"Donaldson also said that he had sent Acosta an email which encouraged him to ‘Keep it up”, and not to worry about the “vicious attacks” and “threats”.",0,0,0,0,0,0,0,0
"Watching the full exchange it is obvious that President Trump was making a sincere effort to answer Acosta’s questions, the president actually took the time to answer three of his questions before rightfully losing his patients when Acosta refused to hand the mic over.",0,0,0,0,0,0,0,0
"Not only that, he used his hand to forcefully push the female interns arm away from the mic.",0,0,0,0,0,0,0,0
It appears that CNN is setting the wheels in motion for a lawsuit against the White House for removing the press credentials of Jim Acosta following a tense incident Wednesday during a news conference at the White House.,0,0,0,0,0,0,0,0
Last Wednesday White House press secretary Sarah Sanders made the announcement that Acosta’s press pass had been suspended as a result of a tussle with a White House intern over a microphone following his sharp back-and-forth with Trump during the President’s post-midterm Q&A.,0,0,0,0,0,0,0,0
"“It is important to me that everybody who has been hurt know that the sorrow I feel is genuine — first and most important, my family, also my friends, my staff, my Cabinet, Monica Lewinsky and her family, and the American people.",0,0,0,0,0,0,1,0
"She also tweeted a link to a personal essay she wrote in February for Vanity Fair on the 20th anniversary of the investigation into the affair, in which she admitted that she suffers from PTSD over the fallout from the investigation and publicity, and that the #MeToo movement had changed her perspective on the affair and its aftermath.",0,0,0,0,0,0,0,1
"“The Court finds that the irreparable burdens on the private defendants’ First Amendment rights are dwarfed by the irreparable harms the States are likely to suffer if the existing restrictions are withdrawn and that, overall, the public interest strongly supports maintaining the status quo through the pendency of this litigation,” Lasnik wrote in his decision.",0,0,0,0,0,0,0,1
"Becerra’s statement, “it needlessly endangered our children, our loved ones and our men and women in law enforcement,” is preposterous left-wing political argle-bargle.",1,0,0,0,0,0,0,0
"“When the Trump Administration inexplicably gave the green light to distribute on the internet blueprints of 3D-printed, untraceable ghost guns, it needlessly endangered our children, our loved ones and our men and women in law enforcement,” Becerra said in a statement.",0,0,0,0,0,0,1,1
“The Trump Administration’s actions were dangerous and incompetent.,0,0,0,0,0,0,0,0
"The radical leftist gun grabbing anti-liberty California General Xavier Becerra is lying when he says the “Trump Administration inexplicably gave the green light to distribute on the internet blueprints of 3D-printed, untraceable ghost guns.",1,0,1,0,0,0,0,0
"When it comes to Ellison though, we know he is an effeminate pansy who simply does not want to answer to the American people and even seeks security to hide from a female report with a mic and a camera.",1,0,0,0,0,0,1,0
"According to Austin Monahan, Ellison put his mother through “pure hell.",0,0,0,0,0,0,0,0
"” DFL-endorsed candidate for attorney general of Minnesota Matt Pelikan also reacted to the story, calling the allegations “extremely troubling.",0,0,0,0,0,0,0,0
Why the Coordinated Alternative Media Purge Should TERRIFY Everyone: Soon Those Who Hate Freedom Will Have Unquestioned Access to the Minds of 2 Billion People,1,0,1,0,0,0,0,0
"Yesterday, the alternative media purge was boldly advanced in a coordinated effort to silence people who dissent from establishment views.",0,0,0,0,0,0,0,0
I wanted to shed light on corruption and wrongdoing against oppressed peoples and cover the harsh truth about American foreign policy.,0,0,0,0,0,0,0,0
It’s literally the textbook definition of brainwashing.,0,0,0,0,0,0,0,0
"If the information is rigged by entities that support socialism, gun control, and the end of privacy, we’re doomed.",0,0,1,0,0,0,0,0
And this should terrify everyone who wants to be free to question the status quo and to seek a wide range of information.,0,0,1,0,0,1,0,0
The truth is getting harder and harder to find.,0,0,0,0,0,0,0,0
It’s just one more step toward a monopoly on information by those who hate freedom.,0,0,0,0,0,0,0,1
